[0/200] [132 steps] [state (23, 38)] [goal (105, 178)] [h_dist 222]
[0/200] [133 steps] [state (24, 38)] [goal (105, 178)] [h_dist 221]
[0/200] [134 steps] [state (23, 38)] [goal (105, 178)] [h_dist 222]
[0/200] [135 steps] [state (23, 39)] [goal (105, 178)] [h_dist 221]
[0/200] [136 steps] [state (24, 39)] [goal (105, 178)] [h_dist 220]
[0/200] [137 steps] [state (24, 38)] [goal (105, 178)] [h_dist 221]
[0/200] [138 steps] [state (24, 37)] [goal (105, 178)] [h_dist 222]
[0/200] [139 steps] [state (24, 37)] [goal (105, 178)] [h_dist 222]
[0/200] [140 steps] [state (24, 37)] [goal (105, 178)] [h_dist 222]
[0/200] [141 steps] [state (24, 36)] [goal (105, 178)] [h_dist 223]
[0/200] [142 steps] [state (24, 37)] [goal (105, 178)] [h_dist 222]
[0/200] [143 steps] [state (24, 38)] [goal (105, 178)] [h_dist 221]
[0/200] [144 steps] [state (24, 38)] [goal (105, 178)] [h_dist 221]
[0/200] [145 steps] [state (24, 38)] [goal (105, 178)] [h_dist 221]
[0/200] [146 steps] [state (23, 38)] [goal (105, 178)] [h_dist 222]
[0/200] [147 steps] [state (23, 37)] [goal (105, 178)] [h_dist 223]
[0/200] [148 steps] [state (23, 36)] [goal (105, 178)] [h_dist 224]
[0/200] [149 steps] [state (23, 35)] [goal (105, 178)] [h_dist 225]
[0/200] [150 steps] [state (24, 35)] [goal (105, 178)] [h_dist 224]
[0/200] [151 steps] [state (24, 34)] [goal (105, 178)] [h_dist 225]
[0/200] [152 steps] [state (23, 34)] [goal (105, 178)] [h_dist 226]
[0/200] [153 steps] [state (22, 34)] [goal (105, 178)] [h_dist 227]
[0/200] [154 steps] [state (23, 34)] [goal (105, 178)] [h_dist 226]
[0/200] [155 steps] [state (22, 34)] [goal (105, 178)] [h_dist 227]
[0/200] [156 steps] [state (22, 33)] [goal (105, 178)] [h_dist 228]
[0/200] [157 steps] [state (22, 34)] [goal (105, 178)] [h_dist 227]
[0/200] [158 steps] [state (23, 34)] [goal (105, 178)] [h_dist 226]
[0/200] [159 steps] [state (23, 35)] [goal (105, 178)] [h_dist 225]
[0/200] [160 steps] [state (23, 34)] [goal (105, 178)] [h_dist 226]
[0/200] [161 steps] [state (24, 34)] [goal (105, 178)] [h_dist 225]
[0/200] [162 steps] [state (24, 35)] [goal (105, 178)] [h_dist 224]
[0/200] [163 steps] [state (24, 35)] [goal (105, 178)] [h_dist 224]
[0/200] [164 steps] [state (24, 35)] [goal (105, 178)] [h_dist 224]
[0/200] [165 steps] [state (24, 35)] [goal (105, 178)] [h_dist 224]
[0/200] [166 steps] [state (24, 34)] [goal (105, 178)] [h_dist 225]
[0/200] [167 steps] [state (24, 33)] [goal (105, 178)] [h_dist 226]
[0/200] [168 steps] [state (24, 34)] [goal (105, 178)] [h_dist 225]
[0/200] [169 steps] [state (23, 34)] [goal (105, 178)] [h_dist 226]
[0/200] [170 steps] [state (22, 34)] [goal (105, 178)] [h_dist 227]
[0/200] [171 steps] [state (21, 34)] [goal (105, 178)] [h_dist 228]
[0/200] [172 steps] [state (21, 33)] [goal (105, 178)] [h_dist 229]
[0/200] [173 steps] [state (22, 33)] [goal (105, 178)] [h_dist 228]
[0/200] [174 steps] [state (22, 32)] [goal (105, 178)] [h_dist 229]
[0/200] [175 steps] [state (22, 33)] [goal (105, 178)] [h_dist 228]
[0/200] [176 steps] [state (22, 32)] [goal (105, 178)] [h_dist 229]
[0/200] [177 steps] [state (22, 33)] [goal (105, 178)] [h_dist 228]
[0/200] [178 steps] [state (22, 32)] [goal (105, 178)] [h_dist 229]
[0/200] [179 steps] [state (21, 32)] [goal (105, 178)] [h_dist 230]
[0/200] [180 steps] [state (21, 33)] [goal (105, 178)] [h_dist 229]
[0/200] [181 steps] [state (20, 33)] [goal (105, 178)] [h_dist 230]
[0/200] [182 steps] [state (21, 33)] [goal (105, 178)] [h_dist 229]
[0/200] [183 steps] [state (21, 34)] [goal (105, 178)] [h_dist 228]
[0/200] [184 steps] [state (20, 34)] [goal (105, 178)] [h_dist 229]
[0/200] [185 steps] [state (20, 35)] [goal (105, 178)] [h_dist 228]
[0/200] [186 steps] [state (21, 35)] [goal (105, 178)] [h_dist 227]
[0/200] [187 steps] [state (21, 34)] [goal (105, 178)] [h_dist 228]
[0/200] [188 steps] [state (21, 33)] [goal (105, 178)] [h_dist 229]
[0/200] [189 steps] [state (21, 34)] [goal (105, 178)] [h_dist 228]
[0/200] [190 steps] [state (20, 34)] [goal (105, 178)] [h_dist 229]
[0/200] [191 steps] [state (19, 34)] [goal (105, 178)] [h_dist 230]
[0/200] [192 steps] [state (20, 34)] [goal (105, 178)] [h_dist 229]
[0/200] [193 steps] [state (21, 34)] [goal (105, 178)] [h_dist 228]
[0/200] [194 steps] [state (20, 34)] [goal (105, 178)] [h_dist 229]
[0/200] [195 steps] [state (20, 35)] [goal (105, 178)] [h_dist 228]
[0/200] [196 steps] [state (19, 35)] [goal (105, 178)] [h_dist 229]
[0/200] [197 steps] [state (19, 36)] [goal (105, 178)] [h_dist 228]
[0/200] [198 steps] [state (19, 35)] [goal (105, 178)] [h_dist 229]
[0/200] [199 steps] [state (19, 34)] [goal (105, 178)] [h_dist 230]
